WB_Code,Year,Population,GDP,GDP_per_capita
TZA,2008,42570728.0,27947821397.9272,675.977233886719
TZA,2009,43633982.0,29400573553.6075,693.823547363281
TZA,2010,44758488.0,32012892919.37,736.530151367188
TZA,2011,46029367.0,34657140096.4836,775.392761230469
TZA,2012,47374260.0,39650394362.9287,861.969909667969
TZA,2013,48824128.0,45648857242.315,963.05712890625
TZA,2014,50351512.0,49986726460.6805,1022.74841308594
TZA,2015,52020962.0,47413919817.124,939.127319335938
TZA,2016,53824013.0,49774409374.4538,953.0107421875
TZA,2017,55652890.0,53274884532.7886,986.674011230469
TZA,2018,57437145.0,57003712892.0858,1023.10626220703
TZA,2019,59174891.0,61026731925.9213,1063.32250976563
TZA,2020,60972798.0,66068737786.0639,1117.41528320313
TZA,2021,62830412.0,70655628147.8986,1159.85656738281
TZA,2022,64711821.0,75749121842.9149,1207.52062988281
TZA,2023,66617606.0,79030935627.0781,1224.00219726563
TZA,2024,68560157.0,78844405385.2195,1186.71691894531
UGA,1960,7640973.0,423145605.043164,55.3784976132181
UGA,1961,7862217.0,441667334.611947,56.1759278091596
UGA,1962,8092231.0,449158233.391351,55.5048704604887
UGA,1963,8333663.0,516315231.449087,61.9553768191835
UGA,1964,8586363.0,589247687.30035,68.6259930194368
UGA,1965,8849203.0,884502309.953801,99.9527652325075
UGA,1966,9122864.0,925381492.370153,101.435414620908
UGA,1967,9408924.0,967240655.186896,102.80034732844
UGA,1968,9708632.0,1037379252.41495,106.851228104531
UGA,1969,10014858.0,1168556628.86742,116.682296330854
UGA,1970,10321603.0,1259554808.90382,122.030929585629
UGA,1971,10618206.0,1417191656.16688,133.468088316131
UGA,1972,10885796.0,1490970180.59639,136.964736487473
UGA,1973,11144236.0,1701829789.02127,152.709417587824
UGA,1974,11424846.0,2098944967.20844,183.71757196626
UGA,1975,11725240.0,2359555555.55556,201.237292844799
UGA,1976,12037294.0,2447300000.0,203.309813650809
UGA,1977,12359669.0,2936470588.23529,237.584889064205
UGA,1978,12692113.0,2420260869.56522,190.690145097606
UGA,1979,13002163.0,2139025000.0,164.513012181127
UGA,1980,13275741.0,1244610000.0,93.7506991135184
UGA,1981,13556452.0,1337300000.0,98.6467550654109
UGA,1982,13873631.0,2177500000.0,156.952422909331
UGA,1983,14221881.0,2240333333.33333,157.527216922525
UGA,1984,14607677.0,3615647477.05434,247.516937638636
UGA,1985,15023681.0,3519695443.52516,234.276502777526
UGA,1986,15467579.0,3923244049.95796,253.643058810817
UGA,1987,15954170.0,6269522042.11556,392.97074320479
UGA,1988,16470483.0,6508931651.66667,395.187660960924
UGA,1989,17010698.0,5276480799.33868,310.186025249445
UGA,1990,17569897.0,4304399310.30967,244.987168126806
UGA,1991,18155901.0,3321729159.62277,182.955897348348
UGA,1992,18785032.0,2857457761.90922,152.113542415537
UGA,1993,19445161.0,3220439044.18949,165.616476211716
UGA,1994,20108801.0,3990430446.71216,198.441987998795
UGA,1995,20665667.0,5755818842.49246,278.520835668767
UGA,1996,21231550.0,6044585326.938,284.698259285733
UGA,1997,21856046.0,6269333313.17108,286.846637912964
UGA,1998,22515806.0,6584815846.52754,292.453037058835
UGA,1999,23257281.0,5998563257.94659,257.921949601357
UGA,2000,24000150.0,6193246837.09687,258.050338731086
UGA,2001,24745676.0,5840503868.51573,236.021188853993
UGA,2002,25532870.0,6178563591.12051,241.984688408335
UGA,2003,26352124.0,6606884275.23087,250.71543664681
