Year,Country,Gold,Silver,Bronze,Total,Total_Athletes,Individual_Medalists,Gold_Medalists,Silver_Medalists,Bronze_Medalists,Total_Medals_Awarded,Gold_Awarded,Silver_Awarded,Bronze_Awarded
2024,SOL,0,0,0,0,2,0,0,0,0,0,0,0,0
2024,SOM,0,0,0,0,1,0,0,0,0,0,0,0,0
2024,SRB,3,1,1,5,113,29,16,1,12,29,16,1,12
2024,SRI,0,0,0,0,6,0,0,0,0,0,0,0,0
2024,SSD,0,0,0,0,14,0,0,0,0,0,0,0,0
2024,STP,0,0,0,0,3,0,0,0,0,0,0,0,0
2024,SUD,0,0,0,0,4,0,0,0,0,0,0,0,0
2024,SUI,1,2,5,8,125,10,1,2,7,10,1,2,7
2024,SUR,0,0,0,0,5,0,0,0,0,0,0,0,0
2024,SVK,0,0,1,1,27,1,0,0,1,1,0,0,1
2024,SWE,4,4,3,11,120,14,4,6,4,16,5,7,4
2024,SWZ,0,0,0,0,3,0,0,0,0,0,0,0,0
2024,SYR,0,0,0,0,6,0,0,0,0,0,0,0,0
2024,TAN,0,0,0,0,7,0,0,0,0,0,0,0,0
2024,TGA,0,0,0,0,4,0,0,0,0,0,0,0,0
2024,THA,1,3,2,6,51,6,1,3,2,6,1,3,2
